from,to,edge_role,year
Wunder_24,Ayliva,1,2024
Wunder_24,Apache,1,2024
Wunder_24,Ayliva,2,2024
Wunder_24,Apache,2,2024
Wunder_24,Berky,2,2024
Wunder_24,Masri,2,2024
Wunder_24,OliverMelcher,2,2024
Wunder_24,Berky,3,2024
Wunder_24,Masri,3,2024
Wunder_24,OliverMelcher,3,2024
Wunder_24,Label_Whiteheart,4,2024
Zeit_24,SohoBani,1,2024
Zeit_24,HerbertGrönemeyer,1,2024
Zeit_24,Ericson,1,2024
Zeit_24,SohoBani,2,2024
Zeit_24,HerbertGrönemeyer,2,2024
Zeit_24,Ericson,2,2024
Zeit_24,SohoBani,3,2024
Zeit_24,Ericson,3,2024
Zeit_24,ChristopherRabai,3,2024
Zeit_24,JohannesGehring,3,2024
Zeit_24,Label_Epic,4,2024
Komet_24,UdoLindenberg,1,2024
Komet_24,Apache,1,2024
Komet_24,UdoLindenberg,2,2024
Komet_24,ChrisJames,2,2024
Komet_24,MarcoTscheschlok,2,2024
Komet_24,Apache,2,2024
Komet_24,Jumpa,2,2024
Komet_24,Sira,2,2024
Komet_24,Jumpa,3,2024
Komet_24,Sira,3,2024
Komet_24,Label_WarnerCentral,4,2024
9bis9_24,Sira,1,2024
9bis9_24,Badchieff,1,2024
9bis9_24,Bausa,1,2024
9bis9_24,Bausa,2,2024
9bis9_24,Badchieff,2,2024
9bis9_24,Sira,2,2024
9bis9_24,Southstar,2,2024
9bis9_24,Sira,3,2024
9bis9_24,Southstar,3,2024
9bis9_24,Label_FourMusic,4,2024
Bauch_Beine_Po_24,ShirinDavid,1,2024
Bauch_Beine_Po_24,ShirinDavid,2,2024
Bauch_Beine_Po_24,DavidKraft,2,2024
Bauch_Beine_Po_24,TimWilke,2,2024
Bauch_Beine_Po_24,Bozza,2,2024
Bauch_Beine_Po_24,Laas,2,2024
Bauch_Beine_Po_24,Sergen,2,2024
Bauch_Beine_Po_24,Timey,2,2024
Bauch_Beine_Po_24,DavidKraft,3,2024
Bauch_Beine_Po_24,TimWilke,3,2024
Bauch_Beine_Po_24,Label_JuicyMoney,4,2024
Vempa_24,Fourty,1,2024
Vempa_24,Bausa,1,2024
Vempa_24,Fourty,2,2024
Vempa_24,Bausa,2,2024
Vempa_24,Chekaa,2,2024
Vempa_24,Chekaa,3,2024
Vempa_24,Label_LifeIsPain,4,2024
Mama_hat_gesagt_24,Beatzarre,1,2024
Mama_hat_gesagt_24,DagAlexisKopplin,1,2024
Mama_hat_gesagt_24,Sido,1,2024
Mama_hat_gesagt_24,EsternGraf,1,2024
Mama_hat_gesagt_24,Sido,2,2024
Mama_hat_gesagt_24,Beatzarre,2,2024
Mama_hat_gesagt_24,DagAlexisKopplin,2,2024
Mama_hat_gesagt_24,EsternGraf,2,2024
Mama_hat_gesagt_24,ThiloBrandt,2,2024
Mama_hat_gesagt_24,Beatzarre,3,2024
Mama_hat_gesagt_24,Label_NurMusik,4,2024
Mittelmeer_24,Pashanim,1,2024
Mittelmeer_24,Pashanim,2,2024
Mittelmeer_24,SlimPharaoh,2,2024
Mittelmeer_24,Stickle,2,2024
Mittelmeer_24,Stickle,3,2024
Mittelmeer_24,SlimPharaoh,3,2024
Mittelmeer_24,Label_UniversalUrban,4,2024
Ms_Jackson_24,Pashanim,1,2024
Ms_Jackson_24,Pashanim,2,2024
Ms_Jackson_24,Sira,2,2024
Ms_Jackson_24,Southstar,2,2024
Ms_Jackson_24,Sebo,2,2024
Ms_Jackson_24,Sira,3,2024
Ms_Jackson_24,Southstar,3,2024
Ms_Jackson_24,Sebo,3,2024
Ms_Jackson_24,Label_UniversalUrban,4,2024
Liebe_auf_der_Rückbank_24,Finch,1,2024
Liebe_auf_der_Rückbank_24,Tream,1,2024
Liebe_auf_der_Rückbank_24,Finch,2,2024
Liebe_auf_der_Rückbank_24,Tream,2,2024
Liebe_auf_der_Rückbank_24,MatthiasMania,2,2024
Liebe_auf_der_Rückbank_24,DanielGroßmann,2,2024
Liebe_auf_der_Rückbank_24,DanielGroßmann,3,2024
Liebe_auf_der_Rückbank_24,MatthiasMania,3,2024
Liebe_auf_der_Rückbank_24,Label_WalkThisWay,4,2024
Madonna_21,Bausa,1,2021
Madonna_21,Apache,1,2021
Madonna_21,Bausa,2,2021
Madonna_21,Apache,2,2021
Madonna_21,Bausa,3,2021
Madonna_21,Berky,3,2021
Madonna_21,Apache,3,2021
Madonna_21,Macloud,3,2021
Madonna_21,Label_WarnerGermany,4,2021
Sommergewitter_21,Pashanim,1,2021
Sommergewitter_21,Pashanim,2,2021
Sommergewitter_21,Stickle,2,2021
Sommergewitter_21,Stickle,3,2021
Sommergewitter_21,Label_UniversalUrban,4,2021
Auf_und_Ab_21,Montez,1,2021
Auf_und_Ab_21,OliverAvalon,2,2021
Auf_und_Ab_21,MarcoTscheschlok,2,2021
Auf_und_Ab_21,TomHengelbrock,2,2021
Auf_und_Ab_21,Montez,2,2021
Auf_und_Ab_21,Aside,2,2021
Auf_und_Ab_21,Aside,3,2021
Auf_und_Ab_21,Label_UniversalDomesticVertigo,4,2021
Ohne_Dich_21,Kasimir,1,2021
Ohne_Dich_21,Badmomzjay,1,2021
Ohne_Dich_21,MarcoTscheschlok,2,2021
Ohne_Dich_21,DanielSluga,2,2021
Ohne_Dich_21,MarkusGoreki,2,2021
Ohne_Dich_21,Kasimir,2,2021
Ohne_Dich_21,LucaManuelMontesinosGargallo,2,2021
Ohne_Dich_21,Badmomzjay,2,2021
Ohne_Dich_21,DanielSluga,3,2021
Ohne_Dich_21,MarkusGoreki,3,2021
Ohne_Dich_21,Label_BisEsKlappt,4,2021
Blaues_Licht_21,RAFCamora,1,2021
Blaues_Licht_21,BonezMC,1,2021
Blaues_Licht_21,MassimoGabutti,2,2021
Blaues_Licht_21,Maury,2,2021
Blaues_Licht_21,TheRoyals,2,2021
Blaues_Licht_21,RAFCamora,2,2021
Blaues_Licht_21,BonezMC,2,2021
Blaues_Licht_21,TimWilke,2,2021
Blaues_Licht_21,DavidKraft,2,2021
Blaues_Licht_21,TimWilke,2,2021
Blaues_Licht_21,JeffreyJey,2,2021
Blaues_Licht_21,GianfrancoRandone,3,2021
Blaues_Licht_21,MassimoGabutti,3,2021
Blaues_Licht_21,Maury,3,2021
Blaues_Licht_21,TheRoyals,3,2021
Blaues_Licht_21,DavidKraft,3,2021
Blaues_Licht_21,TimWilke,3,2021
Blaues_Licht_21,Label_Indipendenza,4,2021
Roller_21,Apache,1,2021
Roller_21,Lucry,2,2021
Roller_21,JenniferAllendoerfer,2,2021
Roller_21,Apache,2,2021
Roller_21,Suena,3,2021
Roller_21,LexBarkley,3,2021
Roller_21,Label_FourMusic,4,2021
Roller_21,Label_TwoSides,4,2021
Roller_21,Lucry,3,2021
Liege_wieder_wach_21,Jamule,1,2021
Liege_wieder_wach_21,Macloud,2,2021
Liege_wieder_wach_21,Miksu,2,2021
Liege_wieder_wach_21,Jamule,2,2021
Liege_wieder_wach_21,Macloud,3,2021
Liege_wieder_wach_21,Miksu,3,2021
Liege_wieder_wach_21,Label_LifeIsPain,4,2021
Ich_darf_das_21,ShirinDavid,1,2021
Ich_darf_das_21,JuhDee,2,2021
Ich_darf_das_21,Laas,2,2021
Ich_darf_das_21,YoungMesh,2,2021
Ich_darf_das_21,ShirinDavid,2,2021
Ich_darf_das_21,Frio,2,2021
Ich_darf_das_21,JuhDee,3,2021
Ich_darf_das_21,YoungMesh,3,2021
Ich_darf_das_21,Label_JuicyMoney,4,2021
Komet_23,UdoLindenberg,1,2023
Komet_23,Apache,1,2023
Komet_23,UdoLindenberg,2,2023
Komet_23,ChrisJames,2,2023
Komet_23,MarcoTscheschlok,2,2023
Komet_23,Apache,2,2023
Komet_23,Jumpa,2,2023
Komet_23,Sira,2,2023
Komet_23,Jumpa,3,2023
Komet_23,Sira,3,2023
Komet_23,Label_WarnerCentral,4,2023
Wildberry_Lillet_23,NinaChuba,1,2023
Wildberry_Lillet_23,NinaChuba,2,2023
Wildberry_Lillet_23,WanjaBierbaum,2,2023
Wildberry_Lillet_23,JustinFröhlich,2,2023
Wildberry_Lillet_23,YannickJohannknecht,2,2023
Wildberry_Lillet_23,YannickJohannknecht,3,2023
Wildberry_Lillet_23,MichaelBurek,3,2023
Wildberry_Lillet_23,Label_JuicyMoney,4,2023
Sie_weiß_23,Ayliva,1,2023
Sie_weiß_23,Mero,1,2023
Sie_weiß_23,Eddy,2,2023
Sie_weiß_23,Frio,2,2023
Sie_weiß_23,Masri,2,2023
Sie_weiß_23,Kyree,2,2023
Sie_weiß_23,Ayliva,2,2023
Sie_weiß_23,Mero,2,2023
Sie_weiß_23,Kyree,3,2023
Sie_weiß_23,Eddy,3,2023
Sie_weiß_23,Frio,3,2023
Sie_weiß_23,Masri,3,2023
Nachts_wach_23,Miksu,1,2023
Nachts_wach_23,Miksu,2,2023
Nachts_wach_23,Makko,1,2023
Nachts_wach_23,Makko,2,2023
Nachts_wach_23,Macloud,1,2023
Nachts_wach_23,Macloud,2,2023
Nachts_wach_23,Deats,2,2023
Nachts_wach_23,ChristopherPlowman,2,2023
Nachts_wach_23,BenediktSchöller,2,2023
Nachts_wach_23,JoshuaAllery,3,2023
Nachts_wach_23,LaurinAuth,3,2023
Nachts_wach_23,Label_Futura,4,2023
9bis9_23,Sira,1,2023
9bis9_23,Badchieff,1,2023
9bis9_23,Bausa,1,2023
9bis9_23,Bausa,2,2023
9bis9_23,Badchieff,2,2023
9bis9_23,Sira,2,2023
9bis9_23,Southstar,2,2023
9bis9_23,Sira,3,2023
9bis9_23,Southstar,3,2023
9bis9_23,Label_FourMusic,4,2023
Zukunft_Pink_23,PeterFox,1,2023
Zukunft_Pink_23,PeterFox,2,2023
Zukunft_Pink_23,PeterFox,3,2023
Zukunft_Pink_23,TorstenSchroth,2,2023
Zukunft_Pink_23,Inez,1,2023
Zukunft_Pink_23,CharlesJosek,2,2023
Zukunft_Pink_23,GuyJosek,2,2023
Zukunft_Pink_23,JakobGrunert,2,2023
Zukunft_Pink_23,DavidConen,2,2023
Zukunft_Pink_23,VincentGrafvonSchlippenbach,2,2023
Zukunft_Pink_23,LouisJosek,2,2023
Zukunft_Pink_23,DavidConen,3,2023
Zukunft_Pink_23,VincentGrafvonSchlippenbach,3,2023
Zukunft_Pink_23,DirkBerger,3,2023
Zukunft_Pink_23,Label_WarnerCentral,4,2023
Frag_mich_nicht_21,Nimo,2,2021
Frag_mich_nicht_21,Deats,2,2021
Frag_mich_nicht_21,Jamule,2,2021
Frag_mich_nicht_21,Deats,3,2021
Frag_mich_nicht_21,Miksu,3,2021
Frag_mich_nicht_21,Macloud,3,2021
Frag_mich_nicht_21,Label_Futura,4,2021
Frag_mich_nicht_21,Miksu,1,2021
Frag_mich_nicht_21,Macloud,1,2021
Frag_mich_nicht_21,Jamule,1,2021
Frag_mich_nicht_21,Nimo,1,2021
Frag_mich_nicht_21,Miksu,2,2021
Frag_mich_nicht_21,Macloud,2,2021
Friesenjung_23,SkiAggu,1,2023
Friesenjung_23,SkiAggu,2,2023
Friesenjung_23,JoostKlein,1,2023
Friesenjung_23,JoostKlein,2,2023
Friesenjung_23,OttoWalkes,1,2023
Friesenjung_23,BerndEilert,2,2023
Friesenjung_23,TantuBeats,2,2023
Friesenjung_23,TantuBeats,3,2023
Friesenjung_23,ViezeAsbak,2,2023
Friesenjung_23,ViezeAsbak,3,2023
Friesenjung_23,Sting,2,2023
Friesenjung_23,NeilDorfsman,2,2023
Friesenjung_23,Jungeratze,4,2023
Friesenjung_23,Label_AlbinoSports,4,2023
Breaking_your_Heart_23,Apache,1,2023
Breaking_your_Heart_23,Apache,2,2023
Breaking_your_Heart_23,Koda,2,2023
Breaking_your_Heart_23,Jumpa,2,2023
Breaking_your_Heart_23,Jumpa,3,2023
Breaking_your_Heart_23,Kalli,3,2023
Breaking_your_Heart_23,LexBarkley,3,2023
Breaking_your_Heart_23,Label_FourMusic,4,2023
Mangos_mit_Chilli_23,NinaChuba,1,2023
Mangos_mit_Chilli_23,Dokii,2,2023
Mangos_mit_Chilli_23,Aside,2,2023
Mangos_mit_Chilli_23,JustinFröhlich,2,2023
Mangos_mit_Chilli_23,MichaelBurek,2,2023
Mangos_mit_Chilli_23,WanjaBierbaum,2,2023
Mangos_mit_Chilli_23,Dokii,3,2023
Mangos_mit_Chilli_23,LexBarkley,3,2023
Mangos_mit_Chilli_23,MichaelBurek,3,2023
Mangos_mit_Chilli_23,Label_JuicyMoney,4,2023
Mädchen_auf_dem_Pferd_23,LucaDanteSpadafora,1,2023
Mädchen_auf_dem_Pferd_23,NiklasDee,1,2023
Mädchen_auf_dem_Pferd_23,Octavian,1,2023
Mädchen_auf_dem_Pferd_23,PeterPlate,2,2023
Mädchen_auf_dem_Pferd_23,UlfLeoSommer,2,2023
Mädchen_auf_dem_Pferd_23,DanielFaust,2,2023
Mädchen_auf_dem_Pferd_23,LucaDanteSpadafora,3,2023
Mädchen_auf_dem_Pferd_23,NiklasDee,3,2023
Was_du_Liebe_nennst_17,Bausa,1,2017
Was_du_Liebe_nennst_17,Bausa,2,2017
Was_du_Liebe_nennst_17,Bausa,3,2017
Was_du_Liebe_nennst_17,DavidKraft,2,2017
Was_du_Liebe_nennst_17,TimWilke,2,2017
Was_du_Liebe_nennst_17,DavidKraft,3,2017
Was_du_Liebe_nennst_17,TimWilke,3,2017
Was_du_Liebe_nennst_17,JoachimPiehl,2,2017
Was_du_Liebe_nennst_17,ShottaPaul,2,2017
Was_du_Liebe_nennst_17,Meska,2,2017
Was_du_Liebe_nennst_17,DJCutlass,2,2017
Was_du_Liebe_nennst_17,DJSmo,2,2017
Was_du_Liebe_nennst_17,Jopez,2,2017
Was_du_Liebe_nennst_17,SirJai,2,2017
Was_du_Liebe_nennst_17,ShottaPaul,3,2017
Was_du_Liebe_nennst_17,Meska,3,2017
Was_du_Liebe_nennst_17,DJCutlass,3,2017
Was_du_Liebe_nennst_17,DJSmo,3,2017
Was_du_Liebe_nennst_17,Jopez,3,2017
Was_du_Liebe_nennst_17,SirJai,3,2017
Was_du_Liebe_nennst_17,JonasNikolausLang,2,2017
Was_du_Liebe_nennst_17,Label_Downbeat,4,2017
Ohne_mein_Team_17,BonezMC,1,2017
Ohne_mein_Team_17,BonezMC,2,2017
Ohne_mein_Team_17,Maxwell,1,2017
Ohne_mein_Team_17,Maxwell,2,2017
Ohne_mein_Team_17,RAFCamora,1,2017
Ohne_mein_Team_17,RAFCamora,2,2017
Ohne_mein_Team_17,RAFCamora,3,2017
Ohne_mein_Team_17,Label_AKF,4,2017
Ohne_mein_Team_17,Label_Indipendenza,4,2017
Heute_mit_mir_17,Nimo,1,2017
Heute_mit_mir_17,Nimo,2,2017
Heute_mit_mir_17,PZY,2,2017
Heute_mit_mir_17,PZY,3,2017
Heute_mit_mir_17,Label_385ideal,4,2017
Wohin_willst_du_17,VIZE,2,2017
Wohin_willst_du_17,NicoWendel,2,2017
Wohin_willst_du_17,SpikeD,2,2017
Wohin_willst_du_17,JohannesJakobHofmann,2,2017
Wohin_willst_du_17,LEA,2,2017
Wohin_willst_du_17,NicoWendel,3,2017
Wohin_willst_du_17,SpikeD,3,2017
Wohin_willst_du_17,VIZE,3,2017
Wohin_willst_du_17,LEA,1,2017
Wohin_willst_du_17,NicoWendel,1,2017
Wohin_willst_du_17,SpikeD,1,2017
Wohin_willst_du_17,Label_KontorRecords,4,2017
Sowieso_17,MarkForster,1,2017
Sowieso_17,Shuko,2,2017
Sowieso_17,MichaelGeldreich,2,2017
Sowieso_17,JulesKalmbacher,2,2017
Sowieso_17,Label_FourMusic,4,2017
Sowieso_17,RalfChristianMayer,3,2017
Sowieso_17,DanielNitt,3,2017
Sowieso_17,MarkForster,2,2017
Sowieso_17,MarkForster,3,2017
Bon_voyage_17,MiamiYacine,1,2017
Bon_voyage_17,Label_KMNG,4,2017
Bon_voyage_17,AriBeatz,3,2017
Bon_voyage_17,MiamiYacine,2,2017
Unendlichkeit_17,CRO,1,2017
Unendlichkeit_17,CRO,2,2017
Unendlichkeit_17,CRO,3,2017
Unendlichkeit_17,MichaelGeldreich,2,2017
Unendlichkeit_17,Label_Chimperator,4,2017
Ist_da_jemand_17,AdelTawil,1,2017
Ist_da_jemand_17,SimonTriebel,2,2017
Ist_da_jemand_17,AliZuckowski,2,2017
Ist_da_jemand_17,NicolasRebscher,2,2017
Ist_da_jemand_17,AndreasHerbig,3,2017
Ist_da_jemand_17,PatrickPykeSalmy,3,2017
Ist_da_jemand_17,AdelTawil,2,2017
Ist_da_jemand_17,Label_Island,4,2017
Ist_da_jemand_17,Label_Polydor,4,2017
Nummer_1_17,Zuna,1,2017
Nummer_1_17,Azet,1,2017
Nummer_1_17,Aboom,3,2017
Nummer_1_17,Noizy,1,2017
Nummer_1_17,Azet,2,2017
Nummer_1_17,Zuna,2,2017
Nummer_1_17,Label_KMNG,4,2017
Herzbeben_17,HeleneFischer,1,2017
Herzbeben_17,ThorstenBrötzmann,2,2017
Herzbeben_17,AlexanderRethwisch,2,2017
Herzbeben_17,LukasHainer,2,2017
Herzbeben_17,StephanieStumph,2,2017
Herzbeben_17,Label_Polydor,4,2017
Herzbeben_17,ThiloBrandt,3,2017
Was_du_Liebe_nennst_18,Bausa,1,2018
Was_du_Liebe_nennst_18,Bausa,2,2018
Was_du_Liebe_nennst_18,Bausa,3,2018
Was_du_Liebe_nennst_18,DavidKraft,2,2018
Was_du_Liebe_nennst_18,TimWilke,2,2018
Was_du_Liebe_nennst_18,DavidKraft,3,2018
Was_du_Liebe_nennst_18,TimWilke,3,2018
Was_du_Liebe_nennst_18,JoachimPiehl,2,2018
Was_du_Liebe_nennst_18,ShottaPaul,2,2018
Was_du_Liebe_nennst_18,Meska,2,2018
Was_du_Liebe_nennst_18,DJCutlass,2,2018
Was_du_Liebe_nennst_18,DJSmo,2,2018
Was_du_Liebe_nennst_18,Jopez,2,2018
Was_du_Liebe_nennst_18,SirJai,2,2018
Was_du_Liebe_nennst_18,ShottaPaul,3,2018
Was_du_Liebe_nennst_18,Meska,3,2018
Was_du_Liebe_nennst_18,DJCutlass,3,2018
Was_du_Liebe_nennst_18,DJSmo,3,2018
Was_du_Liebe_nennst_18,Jopez,3,2018
Was_du_Liebe_nennst_18,SirJai,3,2018
Was_du_Liebe_nennst_18,JonasNikolausLang,2,2018
Was_du_Liebe_nennst_18,Label_Downbeat,4,2018
Je_ne_parle_pas_francais_18,Namika,1,2018
Je_ne_parle_pas_francais_18,Namika,2,2018
Je_ne_parle_pas_francais_18,SimonTriebel,2,2018
Je_ne_parle_pas_francais_18,SeraFinale,2,2018
Je_ne_parle_pas_francais_18,PhilipBöllhoff,2,2018
Je_ne_parle_pas_francais_18,SiphoSlilio,2,2018
Je_ne_parle_pas_francais_18,DavidVogt,2,2018
Je_ne_parle_pas_francais_18,HannesBüscher,2,2018
Je_ne_parle_pas_francais_18,PhilipBöllhoff,3,2018
Je_ne_parle_pas_francais_18,SiphoSlilio,3,2018
Je_ne_parle_pas_francais_18,DavidVogt,3,2018
Je_ne_parle_pas_francais_18,HannesBüscher,3,2018
Je_ne_parle_pas_francais_18,Label_Jive,4,2018
Je_ne_parle_pas_francais_18,BlackM,1,2018
Magisch_18,Label_385ideal,4,2018
Magisch_18,Olexesh,1,2018
Magisch_18,Edin,1,2018
Magisch_18,Olexesh,2,2018
Magisch_18,Edin,2,2018
Magisch_18,PZY,2,2018
Magisch_18,PZY,3,2018
Neymar_18,CapitalBra,1,2018
Neymar_18,Ufo361,1,2018
Neymar_18,Label_TeamKuku,4,2018
Neymar_18,DavidKraft,2,2018
Neymar_18,TimWilke,2,2018
Neymar_18,CapitalBra,2,2018
Neymar_18,Ufo361,2,2018
500_PS_18,BonezMC,1,2018
500_PS_18,RAFCamora,1,2018
500_PS_18,RAFCamora,2,2018
500_PS_18,BonezMC,2,2018
500_PS_18,DavidKraft,2,2018
500_PS_18,TimWilke,2,2018
500_PS_18,DavidKraft,3,2018
500_PS_18,TimWilke,3,2018
500_PS_18,RAFCamora,3,2018
500_PS_18,Label_187Strassenbande,4,2018
Casanova_18,Bausa,1,2018
Casanova_18,JuhDee,2,2018
Casanova_18,Bausa,2,2018
Casanova_18,Label_BangerMusik,4,2018
Casanova_18,SummerCem,1,2018
Casanova_18,SummerCem,2,2018
Melodien_18,CapitalBra,1,2018
Melodien_18,Juju,1,2018
Melodien_18,DavidKraft,2,2018
Melodien_18,TimWilke,2,2018
Melodien_18,CapitalBra,2,2018
Melodien_18,Juju,2,2018
Melodien_18,DavidKraft,3,2018
Melodien_18,TimWilke,3,2018
Melodien_18,Label_ersguterjunge,4,2018
One_Night_Stand_18,CapitalBra,1,2018
One_Night_Stand_18,Label_TeamKuku,4,2018
One_Night_Stand_18,DavidKraft,2,2018
One_Night_Stand_18,TimWilke,2,2018
One_Night_Stand_18,DavidKraft,3,2018
One_Night_Stand_18,TimWilke,3,2018
One_Night_Stand_18,CapitalBra,2,2018
Zusammen_18,Smudo,1,2018
Zusammen_18,ThomasD,1,2018
Zusammen_18,MichiBeck,1,2018
Zusammen_18,AndYpsilon,1,2018
Zusammen_18,Clueso,1,2018
Zusammen_18,Smudo,2,2018
Zusammen_18,ThomasD,2,2018
Zusammen_18,MichiBeck,2,2018
Zusammen_18,AndYpsilon,2,2018
Zusammen_18,DJThomilla,2,2018
Zusammen_18,Curse,2,2018
Zusammen_18,SamyDeluxe,2,2018
Zusammen_18,ConradHensel,2,2018
Zusammen_18,DamionDavis,2,2018
Zusammen_18,DJThomilla,3,2018
Zusammen_18,ConradHensel,3,2018
Zusammen_18,RiccoSchoenebeck,3,2018
Zusammen_18,BigToni,3,2018
Zusammen_18,RiccoSchoenebeck,2,2018
Zusammen_18,BigToni,2,2018
Zusammen_18,Label_Columbia,4,2018
Leiser_18,LEA,1,2018
Leiser_18,Label_FourMusic,4,2018
Leiser_18,LEA,2,2018
Leiser_18,AlexLys,2,2018
Leiser_18,Curly,2,2018
Leiser_18,KraansdeLutin,3,2018
Wackelkontakt_25,Oimara,1,2025
Wackelkontakt_25,Oimara,2,2025
Wackelkontakt_25,MatthiasRiegler,2,2025
Wackelkontakt_25,AndreasFrei,2,2025
Wackelkontakt_25,NiklasNubel,2,2025
Wackelkontakt_25,AndreasFrei,3,2025
Wackelkontakt_25,Label_Stereopol,4,2025
Tau_mich_auf_25,Zartmann,1,2025
Tau_mich_auf_25,Zartmann,2,2025
Tau_mich_auf_25,Cuffa,2,2025
Tau_mich_auf_25,Drumla,2,2025
Tau_mich_auf_25,DaJu,2,2025
Tau_mich_auf_25,Dauner,2,2025
Tau_mich_auf_25,Drumla,3,2025
Tau_mich_auf_25,DaJu,3,2025
Tau_mich_auf_25,Dauner,3,2025
Tau_mich_auf_25,Label_BambooArtists,4,2025
Fata_Morgana_25,NinaChuba,1,2025
Fata_Morgana_25,NinaChuba,2,2025
Fata_Morgana_25,GhanaBeats,2,2025
Fata_Morgana_25,GhanaBeats,3,2025
Fata_Morgana_25,Geenaro,2,2025
Fata_Morgana_25,Geenaro,3,2025
Fata_Morgana_25,FloAugust,2,2025
Fata_Morgana_25,FloAugust,3,2025
Fata_Morgana_25,PaulKernbach,2,2025
Fata_Morgana_25,Label_Jive,4,2025
Vielleicht_vielleicht_25,Milleniumkid,1,2025
Vielleicht_vielleicht_25,Milleniumkid,2,2025
Vielleicht_vielleicht_25,JanBennetSchemmer,1,2025
Vielleicht_vielleicht_25,Milleniumkid,3,2025
Vielleicht_vielleicht_25,Nasskalt,3,2025
Vielleicht_vielleicht_25,Label_WarnerMusicGroup,4,2025
Sabia_que_no_25,Reezy,1,2025
Sabia_que_no_25,Reezy,2,2025
Sabia_que_no_25,Reezy,3,2025
Sabia_que_no_25,PhilipBöllhoff,3,2025
Sabia_que_no_25,SiphoSlilio,3,2025
Sabia_que_no_25,DavidVogt,3,2025
Sabia_que_no_25,HannesBüscher,3,2025
Sabia_que_no_25,Holidave,3,2025
Sabia_que_no_25,Label_FourMusic,4,2025
Sabia_que_no_25,Label_TeenagerForever,4,2025
Shababes_im_VIP_25,Ceren,1,2025
Shababes_im_VIP_25,Ceren,2,2025
Shababes_im_VIP_25,Pashanim,1,2025
Shababes_im_VIP_25,Pashanim,2,2025
Shababes_im_VIP_25,Label_UrbanRecords,4,2025
Shababes_im_VIP_25,Speckmann,3,2025
Shababes_im_VIP_25,Speckmann,3,2025
Wunder_25,Ayliva,1,2025
Wunder_25,Apache,1,2025
Wunder_25,Label_Whiteheart,4,2025
Wunder_25,Berky,2,2025
Wunder_25,Apache,2,2025
